神州泰岳,300002,王宁,董事长,"王宁先生,1961年出生,中国国籍,无永久境外居留权。毕业于河北大学,理学、法学双学士,荣获2006年“中国软件企业十大领军人物”、2009年“中国软件产业发展功勋人物”及“中国软件产业杰出企业家”。曾任河北大学校团委书记、河北大学出版社社长、联想集团工控公司电脑部经理、北京新海拓科技公司总经理,北京神州泰岳科技有限公司副总经理、总经理。2001年5月至今担任神州泰岳公司董事长,其中,2001年5月至2007年7月,曾任公司财务负责人、总经理。兼任北京启天同信科技有限公司董事、北京神州良品电子商务科技股份有限公司董事长、北京华泰德丰技术有限公司董事长、北京创董创新实业有限公司董事长、北京善聚投资管理有限公司执行董事。持有公司股份126,958,612股,为公司控股股东及实际控制人,未受过中国证监会及其他有关部门的处罚和证券交易所惩戒,不存在《创业板上市公司规范运作指引》第3.2.3条所规定的情形。"
神州泰岳,300002,翟一兵,董事兼高管,"翟一兵先生,1963年7月出生,中国国籍,无永久境外居留权,教授级高级工程师。1986年毕业于北京邮电学院无线电工程专业,同年留校任计算机工程系助教;先后获得挪威商学院硕士学位和法国雷恩商学院博士学位。曾在邮电部电信总局工作,任科员、主任、局长助理;在地方挂职锻炼任职副市长;中国移动通信集团公司筹备办公室主任、网络部副部长;在中国联合通信有限公司工作期间曾任移动部、增值业务部、营销部副总经理、联通时科信息技术有限公司董事、首席执行官(CEO);2013年3月,担任神州泰岳公司首席运营官(COO)。2013年5月至今担任公司董事兼首席运营官。持有公司股票1,802,002股,与其他持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系,未受过中国证监会及其他有关部门的处罚和证券交易所惩戒,不存在《创业板上市公司规范运作指引》第3.2.3条所规定的情形。"
神州泰岳,300002,黄松浪,董事兼高管,"黄松浪先生毕业于清华大学，软件工程硕士学位，2002年获美国新泽西州立大学Rutgers商学院EMBA学位；曾任吉通通信有限公司技术总体部经理、中国惠普有限公司软件业务部总经理、上海联盈数码技术有限公司董事、总经理；2007年7月至今任公司副董事长、董事会秘书。兼任上海联盈数码技术有限公司董事。持有公司股份19,360,230股，与其他持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系，未受过中国证监会及其他有关部门的处罚和证券交易所惩戒，不存在《深圳证券交易所创业板股票上市规则》第3.2.4条所规定的不得担任上市公司董事会秘书的情形。已通过深圳证券交易所创业板董事会秘书资格考试。"
神州泰岳,300002,李力,董事兼高管,"李力先生,1971年出生,中国国籍,新加坡永久居留权。毕业于首都经贸大学,曾任北京力霸科技有限公司副总经理。李力先生作为主要创始人,历任神州泰岳公司董事、常务副总经理、总经理。兼任北京启天同信科技有限公司董事、神州泰岳(香港)有限公司董事、中建智能技术有限公司董事。截止目前,持有公司股份215,954,004股,为公司控股股东及实际控制人,未受过中国证监会及其他有关部门的处罚和证券交易所惩戒,不存在《创业板上市公司规范运作指引》第3.2.3条所规定的情形。"
神州泰岳,300002,万能,董事兼高管,"万能先生，男，1971年出生，毕业于北京科技大学；曾任北京科海天地电子技术有限公司技术部经理、北京中自公司技术部经理、北京神州泰岳科技有限公司副经理；2001年5月至今任公司董事，自2007年7月起担任公司财务总监。兼任北京启天同信科技有限公司董事。持有公司股份15,488,180股，与其他持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系，未受过中国证监会及其他有关部门的处罚和证券交易所惩戒，不存在《创业板上市公司规范运作指引》第3.1.3条所规定的情形。"
神州泰岳,300002,汪铖,董事兼高管,"汪铖先生,男,1974年1月出生,毕业于武汉测绘科技大学,学士学位。曾任兆维集团通信工程师、联想集团销售经理,北京互联时代通讯科技有限公司总经理,2007年起至今任北京新媒传信科技有限公司执行董事、总经理。持有公司股份10,257,860股,与其他持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系,未受过中国证监会及其他有关部门的处罚和证券交易所惩戒,不存在《创业板上市公司规范运作指引》第3.1.3条所规定的情形。
"
神州泰岳,300002,齐强,董事,"齐强先生，1970年出生，毕业于河北大学；曾任北京科海天地电子技术有限公司销售部经理、北京中自公司销售部经理；1997年至今历任北京神州泰岳科技有限公司副经理、北京启天同信科技有限公司总经理；2001年5月至今任公司董事，兼任北京启天同信科技有限公司董事长、总经理。持有公司股份23,062,825股，与其他持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系，未受过中国证监会及其他有关部门的处罚和证券交易所惩戒，不存在《创业板上市公司规范运作指引》第3.1.3条所规定的情形。"
神州泰岳,300002,徐斯平,董事,"徐斯平先生，1958年出生，毕业于大连理工大学；曾先后任职于国家计委、国家经贸委、香港江胜集团、北京思乐信息技术有限公司；2005年6月至今任公司董事。兼任北京思乐信息技术有限公司董事长。持有公司股份12,955,200股，与其他持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系，未受过中国证监会及其他有关部门的处罚和证券交易所惩戒，不存在《创业板上市公司规范运作指引》第3.1.3条所规定的情形。"
神州泰岳,300002,江锡如,独立董事,江锡如先生，男，1965年2月出生，毕业于中国人民大学，获经济学学士学位，高级会计师，党员。曾任财政部办公厅秘书；财政部原商贸司副处长；财政部经贸司及企业司副处长；财政部企业司正处级调研员；中投信用担保有限公司财务总监兼财务部总经理。现任中国华粮物流集团公司总经理助理；兼任中国华粮物流集团北良有限公司副总经理兼财务总监；北京东方园林股份有限公司独立董事；上海凌云实业发展股份有限公司独立董事；北京顺鑫农业股份有限公司独立董事。未持有公司股份，与持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系，未受过中国证监会及其他有关部门的处罚和证券交易所惩戒，不存在《创业板上市公司规范运作指引》第3.1.3条所规定的情形。
神州泰岳,300002,蓝伯雄,独立董事,蓝伯雄，男，中国国籍，教授。1993年毕业于加拿大滑铁卢大学管理科学系，获管理科学博士学位。曾任清华大学经济管理学院副院长；现任清华大学经济管理学院教授，兼任中国电子学会工业工程分会副主任委员、中国运筹学会常务理事、北京运筹学会副理事长、中国中小企业对外交流与合作协会理事、北京华胜天成科技股份有限公司独立董事。未持有公司股份，与持有公司5%以上股份的股东、实际控制人、其他董事、监事、高级管理人员不存在关联关系，未受过中国证监会及其他有关部门的处罚和证券交易所惩戒，不存在《创业板上市公司规范运作指引》第3.1.3条所规定的情形。
